Bui_ID,Bui_Kbn_ID,Bui_Nm,Sort_No,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
101,1,天井,1,1,0,0,,
102,1,外部天井,2,1,0,0,,
103,1,曲面天井,3,1,0,0,,
104,1,外部曲面天井,4,1,0,0,,
105,1,高所天井,5,1,0,0,,
106,1,勾配天井,6,1,0,0,,
107,1,防振天井,7,1,0,0,,
108,1,角ｽﾀｯﾄﾞ天井,8,1,0,0,,
109,1,ﾗｲﾄｹﾞｰｼﾞ下地,9,1,0,0,,
110,1,耐風圧天井,10,1,0,0,,
111,1,耐風圧補強,11,1,0,0,,
112,1,耐震天井,12,1,0,0,,
113,1,耐震補強,13,1,0,0,,
114,1,ﾌﾄｺﾛ補正,14,1,0,0,,
115,1,下り壁,15,1,0,0,,
116,1,外部下り壁,16,1,0,0,,
117,1,曲面下り壁,17,1,0,0,,
118,1,梁型,18,1,0,0,,
119,1,外部梁型,19,1,0,0,,
120,1,間接照明,20,1,0,0,,
121,1,下り壁(GL工法),21,1,0,0,,
122,1,梁型(GL工法),22,1,0,0,,
123,1,天井(断熱材),23,1,0,0,,
124,1,天井(化粧板),24,1,0,0,,
125,1,下り壁(化粧板),25,1,0,0,,
126,1,天井(ｽﾊﾟﾝﾄﾞﾚﾙ),26,1,0,0,,
127,1,外部天井(ｽﾊﾟﾝﾄﾞﾚﾙ),27,1,0,0,,
128,1,天井(ﾊﾞｽﾊﾟﾈﾙ),28,1,0,0,,
129,1,廻り縁,29,1,0,0,,
130,1,見切,30,1,0,0,,
131,1,出隅,31,1,0,0,,
132,1,点検口,32,1,0,0,,
133,1,天井開口,33,1,0,0,,
199,1,天井(その他),34,1,0,0,,
201,2,壁,35,1,0,0,,
202,2,階段室壁,36,1,0,0,,
203,2,ﾌｶｼ壁,37,1,0,0,,
204,2,曲面壁,38,1,0,0,,
205,2,千鳥壁,39,1,0,0,,
206,2,角ｽﾀｯﾄﾞ壁,40,1,0,0,,
207,2,壁(GL工法),41,1,0,0,,
208,2,壁(化粧板),42,1,0,0,,
209,2,ﾏﾝｼｮﾝ壁(化粧板),43,1,0,0,,
210,2,壁(断熱材),44,1,0,0,,
211,2,柱型,45,1,0,0,,
212,2,柱型(GL工法),46,1,0,0,,
213,2,腰壁,47,1,0,0,,
214,2,曲面腰壁,48,1,0,0,,
215,2,ﾗｲﾆﾝｸﾞ,49,1,0,0,,
216,2,垂れ壁,50,1,0,0,,
217,2,曲面垂れ壁,51,1,0,0,,
218,2,見切,52,1,0,0,,
219,2,出隅,53,1,0,0,,
220,2,壁開口,54,1,0,0,,
299,2,壁(その他),55,1,0,0,,
301,3,耐火壁,56,1,0,0,,
302,3,耐火ｼｰﾙ,61,1,0,0,,
303,3,耐火遮音壁,57,1,0,0,,
304,3,遮音壁,58,1,0,0,,
305,3,準耐火壁,59,1,0,0,,
306,3,防火壁,60,1,0,0,,
401,4,床,62,1,0,0,,
402,4,床(耐水工法),63,1,0,0,,
403,4,床(ｸﾞﾘｯﾊﾟｰ工法),64,1,0,0,,
421,4,階段踊場,65,1,0,0,,
422,4,蹴上踏面,66,1,0,0,,
423,4,階段踊場(耐水工法),67,1,0,0,,
424,4,蹴上踏面(耐水工法),68,1,0,0,,
471,4,巾木,69,1,0,0,,
472,4,腰壁･立面・他,70,1,0,0,,
499,4,床(その他),71,1,0,0,,
591,5,天井,72,1,0,0,,
592,5,梁型,73,1,0,0,,
593,5,ｶｰﾃﾝﾎﾞｯｸｽ,74,1,0,0,,
594,5,壁,75,1,0,0,,
595,5,扉,76,1,0,0,,
596,5,ﾄﾞｱｰ枠,77,1,0,0,,
597,5,ｸﾛｽ(その他),78,1,0,0,,
999,9,指定なし,79,1,0,0,,
