Shiyo_ID,ZairyoLossRitsu,GenbaKeihiRitsu,RiekiRitsu,MitsumoriKakeRitsu,KanMinZogenRitsu,ZairyoHi_IPN,Z_Tanka_IPN,R_Tanka_IPN,G_Tanka_IPN,M_Tanka_IPN,ZairyoHi_JIS,Z_Tanka_JIS,R_Tanka_JIS,G_Tanka_JIS,M_Tanka_JIS,ZairyoHi_GIB,Z_Tanka_GIB,R_Tanka_GIB,G_Tanka_GIB,M_Tanka_GIB,ZairyoHi_SUS,Z_Tanka_SUS,R_Tanka_SUS,G_Tanka_SUS,M_Tanka_SUS,ZairyoLossRitsu_MT_Flg,GenbaKeihiRitsu_MT_Flg,RiekiRitsu_MT_Flg,MitsumoriKakeRitsu_MT_Flg,Z_Tanka_IPN_MT_Flg,R_Tanka_IPN_MT_Flg,G_Tanka_IPN_MT_Flg,M_Tanka_IPN_MT_Flg,Z_Tanka_JIS_MT_Flg,R_Tanka_JIS_MT_Flg,G_Tanka_JIS_MT_Flg,M_Tanka_JIS_MT_Flg,Z_Tanka_GIB_MT_Flg,R_Tanka_GIB_MT_Flg,G_Tanka_GIB_MT_Flg,M_Tanka_GIB_MT_Flg,Z_Tanka_SUS_MT_Flg,R_Tanka_SUS_MT_Flg,G_Tanka_SUS_MT_Flg,M_Tanka_SUS_MT_Flg,Zairyo_IPN_Check_Flg,Zairyo_JIS_Check_Flg,Zairyo_GIB_Check_Flg,Zairyo_SUS_Check_Flg,UPDATE_DATE,UPDATE_STAFF
1010001,0.05,0.05,0.25,1.33,,52509,55134,400,66510,73900,78675,82609,420,99400,110450,116940,122787,460,147550,163950,444444,466666,740,559530,621700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13-Mar-23,鈴木　晴
1010002,0.05,0.05,0.25,1.33,,550,578,400,1220,1350,735,772,420,1440,1600,1035,1087,460,1890,2100,4807,5047,740,6980,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Aug-22,鈴木　晴
1010003,0.05,0.05,0.25,1.33,,563,591,400,1220,1350,763,801,420,1490,1650,1057,1110,460,1890,2100,4931,5178,740,7110,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Aug-22,鈴木　晴
1010004,0.05,0.05,0.25,1.33,,662,695,430,1350,1500,921,967,450,1710,1900,,,,,,5814,6105,800,8330,9250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Aug-22,鈴木　晴
1010005,0.05,0.05,0.25,1.33,,644,676,440,1350,1500,836,878,460,1620,1800,1155,1213,510,2120,2350,5592,5872,810,8060,8950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Aug-22,鈴木　晴
1010006,0.05,0.05,0.25,1.33,,512,538,330,1080,1200,679,713,350,1310,1450,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Aug-22,鈴木　晴
1010007,0.05,0.05,0.25,1.33,,605,635,440,1310,1450,855,898,460,1670,1850,1128,1184,510,2070,2300,5333,5600,810,7740,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Aug-22,鈴木　晴
1020001,0.12,0.1,0.4,1.66,,1141,1278,800,3240,3600,1259,1410,840,3470,3850,1688,1891,920,4320,4800,5088,5699,1480,10940,12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Jul-22,松井　雄司
1020002,0.12,0.1,0.4,1.66,,1329,1488,900,3690,4100,1517,1699,940,4100,4550,2070,2318,1030,5180,5750,6575,7364,1670,13730,15250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Jul-22,松井　雄司
1020003,0.12,0.1,0.4,1.66,,1678,1879,1000,4460,4950,1948,2182,1050,5000,5550,2706,3031,1150,6440,7150,8216,9202,1850,16790,18650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20-Jul-22,松井　雄司
