Shiyo_Shubetsu_Kbn_ID,Koshu_ID,Shiyo_Shubetsu_ID,Seko_Tanka_Kbn_ID,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF,Shiyo_Shubetsu_Nm
1,3,601,621,1,0,0,,,石膏ﾎﾞｰﾄﾞ
2,3,602,621,1,0,0,,,ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ
3,3,603,621,1,0,0,,,強化石膏ﾎﾞｰﾄﾞ
4,3,604,621,1,0,0,,,有孔石膏ﾎﾞｰﾄﾞ
5,3,605,621,1,0,0,,,化粧石膏ﾎﾞｰﾄﾞ
6,3,606,621,1,0,0,,,石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応
7,3,607,621,1,0,0,,,化粧石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応
8,3,608,622,1,0,0,,,ｹｲｶﾙ板
9,3,609,622,1,0,0,,,化粧繊維混入石膏板
10,3,610,623,1,0,0,,,化粧ｹｲｶﾙ板
11,3,611,623,1,0,0,,,化粧ﾌﾚｷ板
12,3,612,623,1,0,0,,,特殊UV塗料硬質ｾﾒﾝﾄ板
13,3,613,623,1,0,0,,,ﾒﾗﾐﾝ不燃化粧板
14,3,614,622,1,0,0,,,ﾌﾚｷ板
15,3,615,622,1,0,0,,,FGﾎﾞｰﾄﾞ
16,3,616,622,1,0,0,,,有孔ｹｲｶﾙ板
17,3,617,624,1,0,0,,,岩綿吸音板
18,3,618,626,1,0,0,,,合板
19,3,620,626,1,0,0,,,GW･RW
20,3,621,626,1,0,0,,,ﾊﾞｽﾊﾟﾈﾙ
21,3,622,626,1,0,0,,,ｽﾊﾟﾝﾄﾞﾚﾙ
22,3,623,626,1,0,0,,,ﾎﾞｰﾄﾞｶｯﾄ
23,3,624,626,1,0,0,,,労務補正
24,3,626,626,1,0,0,,,遮音材
25,3,628,626,1,0,0,,,補助材
26,3,629,626,1,0,0,,,ｼｰﾙ
27,3,630,626,1,0,0,,,廻り縁
28,3,631,626,1,0,0,,,見切･ｼﾞｮｲﾅｰ
29,3,632,626,1,0,0,,,出隅ｺｰﾅｰ
30,3,633,626,1,0,0,,,点検口
31,3,634,621,1,0,0,,,硬質石膏ﾎﾞｰﾄﾞ
32,3,642,622,1,0,0,,,有孔ﾌﾚｷ板
33,3,643,622,1,0,0,,,有孔FGﾎﾞｰﾄﾞ
34,4,601,631,1,0,0,,,石膏ﾎﾞｰﾄﾞ
35,4,602,631,1,0,0,,,ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ
36,4,603,631,1,0,0,,,強化石膏ﾎﾞｰﾄﾞ
37,4,604,631,1,0,0,,,有孔石膏ﾎﾞｰﾄﾞ
38,4,606,631,1,0,0,,,石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応
39,4,608,632,1,0,0,,,ｹｲｶﾙ板
40,4,609,632,1,0,0,,,化粧繊維混入石膏板
41,4,610,633,1,0,0,,,化粧ｹｲｶﾙ板
42,4,611,633,1,0,0,,,化粧ﾌﾚｷ板
43,4,612,633,1,0,0,,,特殊UV塗料硬質ｾﾒﾝﾄ板
44,4,613,633,1,0,0,,,ﾒﾗﾐﾝ不燃化粧板
45,4,614,632,1,0,0,,,ﾌﾚｷ板
46,4,615,632,1,0,0,,,FGﾎﾞｰﾄﾞ
47,4,616,632,1,0,0,,,有孔ｹｲｶﾙ板
48,4,618,635,1,0,0,,,合板
49,4,620,635,1,0,0,,,GW･RW
50,4,623,635,1,0,0,,,ﾎﾞｰﾄﾞｶｯﾄ
51,4,624,635,1,0,0,,,労務補正
52,4,626,635,1,0,0,,,遮音材
53,4,628,635,1,0,0,,,補助材
54,4,629,635,1,0,0,,,ｼｰﾙ
55,4,630,635,1,0,0,,,廻り縁
56,4,631,635,1,0,0,,,見切･ｼﾞｮｲﾅｰ
57,4,632,635,1,0,0,,,出隅ｺｰﾅｰ
58,4,633,635,1,0,0,,,点検口
59,4,634,631,1,0,0,,,硬質石膏ﾎﾞｰﾄﾞ
60,4,642,632,1,0,0,,,有孔ﾌﾚｷ板
61,4,643,632,1,0,0,,,有孔FGﾎﾞｰﾄﾞ
