Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
10000,510601005,1,51010006,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10001,510601006,1,51010007,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10002,510601007,1,51010008,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10003,510601008,1,51010009,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10004,510601009,1,51010010,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10005,510601010,1,51010011,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10006,510601011,1,51010012,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10007,510601012,1,51010013,10.8922,,17,1,,10.8922,,17,1,,,,,,1,1,0,0,,
10008,510601013,1,51010014,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10009,510601014,1,51010015,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10010,510601015,1,51010016,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10011,510601016,1,51010017,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10012,510601017,1,51010018,22.2222,,17,1,,22.2222,,17,1,,,,,,1,1,0,0,,
10013,510601018,1,51010019,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10014,510602001,1,51020001,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10015,510602002,1,51020002,4.8516,,17,1,,4.8516,,17,1,,,,,,1,1,0,0,,
10016,510602003,1,51020003,3.9212,,17,1,,3.9212,,17,1,,,,,,1,1,0,0,,
10017,510604001,1,51040001,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10018,510604002,1,51040002,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10019,510604004,1,51040004,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10020,510604041,1,51040041,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10021,510604042,1,51040042,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10022,510604005,1,51040005,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10023,510604007,1,51040007,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10024,510604008,1,51040008,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10025,510604009,1,51040009,2.4691,,17,1,,2.4691,,17,1,,,,,,1,1,0,0,,
10026,510604011,1,51040011,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10027,510604012,1,51040012,5.5556,,17,1,,5.5556,,17,1,,,,,,1,1,0,0,,
10028,510604043,1,51040043,1.2346,,17,1,,1.2346,,17,1,,,,,,1,1,0,0,,
10029,510604044,1,51040044,29.6296,,17,1,,29.6296,,17,1,,,,,,1,1,0,0,,
10030,510604014,1,51040014,22.7752,,17,1,,22.7752,,17,1,,,,,,1,1,0,0,,
10031,510604045,1,51040045,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10032,510604015,1,51040015,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10033,510604017,1,51040017,2.392,,17,1,,2.392,,17,1,,,,,,1,1,0,0,,
10034,510604046,1,51040046,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10035,510604047,1,51040047,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10036,510604019,1,51040019,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10037,510604020,1,51040020,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10038,510604021,1,51040021,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10039,510604022,1,51040022,14.8148,,17,1,,14.8148,,17,1,,,,,,1,1,0,0,,
10040,510604023,1,51040023,4.4092,,17,1,,4.4092,,17,1,,,,,,1,1,0,0,,
10041,510604048,1,51040048,29.6296,,17,1,,29.6296,,17,1,,,,,,1,1,0,0,,
10042,510604025,1,51040025,3.0754,,17,1,,3.0754,,17,1,,,,,,1,1,0,0,,
10043,510604026,1,51040026,7.1759,,17,1,,7.1759,,17,1,,,,,,1,1,0,0,,
10044,510604049,1,51040049,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10045,510604027,1,51040027,0.2762,,17,-1,,0.2762,,17,-1,,,,,,1,1,0,0,,
10046,510604028,1,51040028,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10047,510604050,1,51040050,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10048,510604051,1,51040051,22.8571,,17,1,,22.8571,,17,1,,,,,,1,1,0,0,,
10049,510604052,1,51040052,2.392,,17,1,,2.392,,17,1,,,,,,1,1,0,0,,
10050,510604039,1,51040039,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
10051,510604040,1,51040040,11.1111,,17,1,,11.1111,,17,1,,,,,,1,1,0,0,,
