Zairyo_Shubetsu_ID,Zairyo_Shubetsu_Nm,Zairyo_Kbn_ID,Sort_No,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
101,野縁受,1,1,1,0,0,,
102,野縁,1,2,1,0,0,,
103,ｸﾘｯﾌﾟ,1,3,1,0,0,,
104,ｼﾞｮｲﾝﾄ,1,4,1,0,0,,
105,ﾊﾝｶﾞｰ,1,5,1,0,0,,
106,吊ﾎﾞﾙﾄ,1,6,1,0,0,,
107,ﾗﾝﾅｰ,1,7,1,0,0,,
108,ｽﾀｯﾄﾞ,1,8,1,0,0,,
109,角ｽﾀｯﾄﾞ,1,9,1,0,0,,
110,ｽﾍﾟｰｻｰ,1,10,1,0,0,,
111,振れ止め,1,11,1,0,0,,
112,補強材,1,12,1,0,0,,
113,補助材,1,13,1,0,0,,
114,点検口,1,14,1,0,0,,
201,石膏ﾎﾞｰﾄﾞ,2,15,1,0,0,,
202,ｼｰｼﾞﾝｸﾞ石膏ﾎﾞｰﾄﾞ,2,16,1,0,0,,
203,強化石膏ﾎﾞｰﾄﾞ,2,17,1,0,0,,
204,硬質石膏ﾎﾞｰﾄﾞ,2,18,1,0,0,,
205,有孔石膏ﾎﾞｰﾄﾞ,2,19,1,0,0,,
206,化粧石膏ﾎﾞｰﾄﾞ,2,20,1,0,0,,
207,石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応,2,21,1,0,0,,
208,化粧石膏ﾎﾞｰﾄﾞ･ｼｯｸ対応,2,22,1,0,0,,
209,ｹｲｶﾙ板,2,23,1,0,0,,
210,ﾌﾚｷ板,2,24,1,0,0,,
211,FGﾎﾞｰﾄﾞ,2,25,1,0,0,,
212,有孔ｹｲｶﾙ板,2,26,1,0,0,,
213,有孔ﾌﾚｷ板,2,27,1,0,0,,
214,有孔FGﾎﾞｰﾄﾞ,2,28,1,0,0,,
215,岩綿吸音板,2,29,1,0,0,,
216,化粧ｹｲｶﾙ板,2,30,1,0,0,,
