Zairyo_ID,Sort_No,Shiire_Tanka_Kbn_ID,Zairyo_Shubetsu_ID,Zairyo_Nm,Kikaku_Sunpo,Maker_ID,Tani_ID,Zairyo_Menseki,Zairyo_Length,Zairyo_Atsumi,Zairyo_Weight,Sunpo_Width,Sunpo_Length,Konpo_Suryo,Zaishitsu,Nintei_Bango,Kikaku_Sunpo_Default,Maker_ID_Default,Tani_ID_Default,Zairyo_Menseki_Default,Zairyo_Length_Default,Zairyo_Atsumi_Default,Zairyo_Weight_Default,Sunpo_Width_Default,Sunpo_Length_Default,Konpo_Suryo_Default,Zaishitsu_Default,Nintei_Bango_Default,Calc_Type,Zairyo_Length_Use_Type,Zairyo_Atsumi_Use_Type,Zairyo_Weight_Use_Type,Sunpo_Width_Use_Type,Sunpo_Length_Use_Type,Catalog_Page_No,Comment,Sort_No_Default,Zairyo_CD,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
1010001,1,401,101,野縁受 [-19,L=4000,,10,,4000,,,,,,溶融亜鉛ﾒｯｷ,,L=4000,,10,,4000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,1,,1,0,0,,
1010002,2,401,101,野縁受 [-25,L=4000,,10,,4000,,,,,,溶融亜鉛ﾒｯｷ,,L=4000,,10,,4000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,2,,1,0,0,,
1010003,3,401,101,野縁受 [-38,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,3,501001,1,0,0,,
1010004,4,401,101,野縁受 [-40×20,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,4,501010,1,0,0,,
1010301,5,401,101,野縁受 [-38 R加工(R=5800),L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,5,501002,1,0,0,,
1010302,6,401,101,野縁受 [-38 R加工(R=2250),L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,6,501003,1,0,0,,
1010303,7,401,101,野縁受 [-38 R加工(R=1250),L=4000,,10,,4000,,,,,,溶融亜鉛ﾒｯｷ,,L=4000,,10,,4000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,7,501004,1,0,0,,
1010304,8,401,101,野縁受 [-38 R手加工(R=350),L=1000,,10,,1000,,,,,,溶融亜鉛ﾒｯｷ,,L=1000,,10,,1000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,8,501005,1,0,0,,
1010305,9,401,101,野縁受 [-38 R加工(R=500),L=1000,,10,,1000,,,,,,溶融亜鉛ﾒｯｷ,,L=1000,,10,,1000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,9,501006,1,0,0,,
1020001,10,401,102,野縁 Sﾊﾞｰ,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,L=5000,,10,,5000,,,,,,溶融亜鉛ﾒｯｷ,,0,1,0,1,0,0,,,10,502011,1,0,0,,
