AdQuoNo,DetailType,DetailNo,Type,PartName,MaterialName,SpecName1,SpecName2,No,FirstName,StandDimen,MakerName,MakerNameOrg,Unit,UnitOrg,Quantity,UnitPrice,UnitPriceOrg,Amount,Note,LaborOuts,MaterUnitPrice,LaborUnitPrice,OutsUnitPrice,MaterCostTotal,LaborCostTotal,OutsCostTotal,MaterUnitPriceOrg,LaborUnitPriceOrg,OutsUnitPriceOrg,MaterUPChangeFlag,LaborUPChangeFlag,OutsUPChangeFlag,FirstNameChangeFlag,StandChangeFlag,UnitPriceChangeFlag,AmountChangeFlag,MakerChangeFlag,UnitChangeFlag,SpecCode1,SpecCode2,ReadFlag,M_EstUP1,M_MaterUP1,M_LaborUP1,M_OutsUP1,M_EstUP2,M_MaterUP2,M_LaborUP2,M_OutsUP2,MaterScaleFactor,LaborAmountTotal,OutsAmountTotal,OpenUPOrg,MaterOpenUPOrg,LaborOpenUPOrg,OutsOpenUPOrg,OutsCost,MaterCost,LiftingCost,LaborCost,SiteExpense,ReadDataKey
2,1,1,Z 科目,,,金属工事,,0,金属工事,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,1,2,Z 科目,,,（外部）,,0,（外部）,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,1,3,A 軽鉄下地 (天井),天井,外部材,天井 軽鉄下地 @303-910 直貼用 [3×3],ﾌﾄｺﾛ H=1000以下 (水平補強),1,軒天井　軽鉄地,25型　直張用　,,,㎡,㎡,614,"2,770","2,770","1,700,780",,労務,"1,361",620,"2,490","835,654","380,680","1,528,860","1,361",620,"2,490",0,0,0,1,1,0,0,0,1,1010003,1130101,1,"2,100","1,110",460,"1,890",670,251,160,600,1,,,0,0,0,0,,"835,654","34,016","380,680","34,016",
2,1,5,Z 科目,,,（内部）,,0,（内部）,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,
2,1,6,A 軽鉄下地 (天井),天井,一般材,天井 軽鉄下地 @303-910 直貼用 [3×3],ﾌﾄｺﾛ H=2000以下 (水平補強),1,天井　軽鉄地,19型　直張用　ﾌﾄｺﾛH<2000,,,㎡,㎡,832,"2,400","2,400","1,996,800",,労務,"1,060",570,"2,170","881,920","474,240","1,805,440","1,060",570,"2,170",0,0,0,1,1,0,0,0,0,1010003,1130103,1,"1,350",591,400,"1,220","1,050",469,170,950,1,,,0,0,0,0,,"881,920","39,936","474,240","39,936",
2,1,7,A 軽鉄下地 (天井),天井,一般材,天井 軽鉄下地 @303-910 直貼用 [3×3],ﾌﾄｺﾛ H=3500以下 (水平補強),2,天井　軽鉄地,19型　直張用　ﾌﾄｺﾛH<3500,,,㎡,㎡,153.5,"2,850","2,850","437,475",,労務,"1,314",600,"2,570","201,699","92,100","394,495","1,314",600,"2,570",0,0,0,1,1,0,0,0,0,1010003,1130106,1,"1,350",591,400,"1,220","1,500",723,200,"1,350",1,,,0,0,0,0,,"201,699","8,750","92,100","8,750",
2,1,8,A 軽鉄下地 (天井),天井,一般材,天井 軽鉄下地 @364 捨貼用,,3,天井　軽鉄地,19型　捨張用　,,,㎡,㎡,833.4,"1,250","1,250","1,041,750",,労務,534,400,"1,130","445,036","333,360","941,742",534,400,"1,130",0,0,0,1,1,0,0,0,1,1010001,,1,"1,250",534,400,"1,130",,,,,1,,,0,0,0,0,,"445,036","20,835","333,360","20,835",
2,1,9,A 軽鉄下地 (天井),天井,一般材,天井 軽鉄下地 @227.5 直貼用 [1.5×3],,4,天井　軽鉄地,19型　ｼﾞﾌﾟﾄﾝ用　,,,㎡,㎡,328.2,"1,500","1,500","492,300",,労務,695,430,"1,350","228,099","141,126","443,070",695,430,"1,350",0,0,0,1,1,0,0,0,1,1010004,,1,"1,500",695,430,"1,350",,,,,1,,,0,0,0,0,,"228,099","9,846","141,126","9,846",
2,1,10,A 軽鉄下地 (天井),下り壁,一般材,下り壁 軽鉄下地 H=300 (M),,5,下り壁　軽鉄地,19型　H=270,,,Ｍ,M,79.1,"1,300","1,300","102,830",,労務,274,500,"1,170","21,673","39,550","92,547",274,500,"1,170",0,0,0,1,1,0,0,0,1,1140002,,1,"1,300",274,500,"1,170",,,,,1,,,0,0,0,0,,"21,673","2,057","39,550","2,057",
2,1,11,A 軽鉄下地 (天井),下り壁,一般材,下り壁 軽鉄下地 H=450 (M),,6,下り壁　軽鉄地,19型　H=470,,,Ｍ,M,125,"1,500","1,500","187,500",,労務,375,500,"1,350","46,875","62,500","168,750",375,500,"1,350",0,0,0,1,1,0,0,0,1,1140003,,1,"1,500",375,500,"1,350",,,,,1,,,0,0,0,0,,"46,875","3,750","62,500","3,750",
